ZIP,ZCTA
85287,85281
85295,85295
85296,85296
85297,85297
85298,85298
85299,85234
85301,85301
85302,85302
85303,85303
85304,85304
85305,85305
85306,85306
85307,85307
85308,85308
85309,85309
85310,85310
85311,85301
85312,85301
85318,85301
85320,85320
85322,85322
85323,85323
85326,85326
85327,85331
85329,85323
85331,85331
85335,85335
85337,85337
85338,85338
85339,85339
85340,85340
85342,85342
85343,85343
85345,85345
85351,85351
85353,85353
85354,85354
85355,85355
85358,85390
85361,85361
85363,85363
85372,85351
85373,85373
85374,85374
85375,85375
85376,85375
85377,85377
85378,85374
85379,85379
85380,85345
85381,85381
85382,85382
85383,85383
85385,85345
85387,85387
85388,85388
85390,85390
85392,85392
85395,85395
85396,85396
85360,85360
86021,86021
86401,86401
86402,86409
86403,86403
86404,86404
86405,86403
86406,86406
86409,86409
86411,86411
86412,86401
86413,86413
86426,86426
86427,86426
86429,86429
86430,86429
86431,86431
86432,86432
86433,86433
86434,86434
86436,86436
86437,86437
86438,86438
86439,86429
86440,86440
86441,86441
86442,86442
86443,86443
86444,86444
86445,86445
86446,86440
85901,85901
85902,85901
85911,85911
85912,85912
85923,85923
85926,85926
85928,85928
85929,85929
85933,85933
85934,85934
85935,85935
85937,85937
85939,85939
85941,85941
85942,85942
86025,86025
86029,86029
86030,86030
86031,86031
86032,86032
86033,86033
86034,86034
86039,86039
86042,86042
86043,86043
86047,86047
86054,86054
86510,86510
86520,86520
85321,85321
85341,85341
85601,85601
85614,85614
85619,85619
85622,85622
85629,85629
85633,85633
85634,85634
85639,85634
85641,85641
85652,85742
85653,85653
85654,85654
85701,85701
85702,85716
85703,85716
85704,85704
85705,85705
85706,85706
85707,85707
85708,85708
85709,85711
85710,85710
85711,85711
85712,85712
85713,85713
85714,85714
85715,85715
85716,85716
85717,85716
85718,85718
85719,85719
85720,85716
85721,85719
85722,85716
85723,85723
85724,85724
85725,85716
85726,85726
85728,85716
85730,85730
85731,85716
85732,85716
85733,85716
85734,85756
85735,85735
85736,85736
85737,85737
85738,85739
85739,85739
85740,85716
85741,85741
85742,85742
85743,85743
85744,85716
85745,85745
85746,85746
85747,85747
85748,85748
85749,85749
85750,85750
85751,85716
85752,85716
85754,85716
85755,85755
85756,85756
85757,85757
85775,85716
85117,85118
85118,85118
85119,85119
85120,85120
85121,85121
85122,85122
85123,85123
85128,85128
85130,85193
85131,85131
85132,85132
85137,85137
85138,85138
85139,85139
85140,85140
85141,85141
85143,85143
85145,85145
85147,85147
85172,85172
85173,85173
85178,85119
85191,85128
85193,85193
85194,85194
85618,85618
85623,85623
85631,85631
85658,85658
85611,85611
85621,85621
85624,85624
85628,85646
85637,85637
85640,85640
85645,85645
85646,85646
85648,85648
85662,85646
85324,85324
85332,85332
85362,85362
86301,86301
86302,86305
86303,86303
86304,86305
86305,86305
86312,86315
86313,86313
86314,86314
86315,86315
86320,86320
86321,86321
86322,86322
86323,86323
86324,86324
86325,86325
86326,86326
86327,86327
86329,86329
86331,86331
86332,86332
86333,86333
86334,86334
86335,86335
86337,86337
86338,86338
86340,86323
86341,86351
86342,86335
86343,86343
85333,85333
85336,85336
85347,85347
85349,85349
85350,85350
85352,85352
85356,85356
85364,85364
85365,85365
85366,85350
85367,85367
85369,85364
94501,94501
94502,94502
94536,94536
94537,94588
94538,94538
94539,94539
94540,94588
94541,94541
