Player,PlayersNthBuzzerBeater,Date,Year,Team,Location,Opp,Margin,Type,Assisted,AssistedGrouped,Distance,Minutes,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Brad Davis,1,3/13/1991,1991,DAL,Home,SEA,0,2-pt FG,unassisted,Unassisted,0,18,8,4,7,0.571,0,1,0,0,0,,1,6,0,0,8
Trent Tucker  ,2,3/6/1991,1991,NYK,Away,DET,0,3-pt FG,C. Oakley,Assisted,25,15,8,3,5,0.6,2,3,0.667,0,0,,2,2,0,0,7.3
John Morton,1,3/5/1991,1991,CLE,Away,SEA,0,2-pt FG,unassisted,Unassisted,15,27,21,6,8,0.75,0,0,,9,9,1,1,2,1,0,19.7
Rolando Blackman  ,2,3/4/1991,1991,DAL,Home,NJN,0,Free throw,,Free Throw,,37,21,6,15,0.4,0,0,,9,10,0.9,5,7,0,0,16.3
Travis Mays,1,2/12/1991,1991,SAC,Home,LAC,0,2-pt FG,B. Wennington,Assisted,17,40,24,9,16,0.563,4,6,0.667,2,2,1,4,2,1,0,16.4
Bill Laimbeer  ,4,1/25/1991,1991,DET,Home,DAL,0,2-pt FG,unassisted,Unassisted,10,23,6,3,8,0.375,0,3,0,0,0,,6,4,0,1,5.3
Fred Roberts,1,12/7/1990,1990,MIL,Away,ATL,-1,2-pt FG,unassisted,Unassisted,18,31,8,3,7,0.429,0,0,,2,2,1,2,4,0,0,1.5
Charles Barkley  ,2,12/4/1990,1990,PHI,Home,MIL,-1,Free throw,,Free Throw,,44,42,13,20,0.65,0,0,,16,20,0.8,9,0,3,0,35.5
Kevin Johnson,1,11/21/1990,1990,PHO,Home,CHI,0,2-pt FG,unassisted,Unassisted,10,28,18,4,11,0.364,0,0,,10,11,0.909,3,10,2,0,16.6
Michael Jordan  ,2,11/13/1990,1990,CHI,Away,UTA,0,2-pt FG,unassisted,Unassisted,18,38,29,10,22,0.455,1,1,1,8,10,0.8,11,5,1,2,25.8
Brian Shaw,1,11/6/1990,1990,BOS,Away,CHI,0,2-pt FG,unassisted,Unassisted,0,45,20,8,15,0.533,0,0,,4,6,0.667,8,8,2,0,18.1
Ken Norman,1,11/4/1990,1990,LAC,Home,GSW,0,2-pt FG,unassisted,Unassisted,20,44,26,10,17,0.588,0,1,0,6,9,0.667,13,3,3,0,24.9
John Paxson,1,4/7/1990,1990,CHI,Away,DAL,-2,3-pt FG,M. Jordan,Assisted,24,35,9,3,7,0.429,1,1,1,2,2,1,4,10,1,0,13.7
Sam Mitchell,1,3/30/1990,1990,MIN,Away,DAL,0,2-pt FG,unassisted,Unassisted,10,25,6,3,6,0.5,0,0,,0,0,,2,1,1,1,2.4
Glen Rice  ,1,3/5/1990,1990,MIA,Home,UTA,-1,2-pt FG,S. Douglas,Assisted,21,27,10,4,10,0.4,0,0,,2,2,1,2,3,1,0,6.9
Lester Conner,1,2/21/1990,1990,NJN,Home,MIN,0,2-pt FG,unassisted,Unassisted,12,43,17,8,14,0.571,0,0,,1,1,1,4,4,3,0,15
Byron Scott,1,2/20/1990,1990,LAL,Away,SAS,-2,3-pt FG,unassisted,Unassisted,24,45,15,6,14,0.429,2,4,0.5,1,2,0.5,7,4,1,0,11.1
Willie Anderson,1,2/17/1990,1990,SAS,Away,HOU,0,2-pt FG,?,Assisted,15,41,20,9,17,0.529,0,0,,2,2,1,5,9,0,1,15
Derrick McKey  ,2,2/3/1990,1990,SEA,Away,WSB,0,2-pt FG,unassisted,Unassisted,17,41,17,5,16,0.313,0,0,,7,9,0.778,7,2,1,0,10.1
Trent Tucker  ,1,1/15/1990,1990,NYK,Home,CHI,0,3-pt FG,M. Jackson,Assisted,26,21,12,5,8,0.625,2,4,0.5,0,0,,0,1,1,0,8.3
Craig Ehlo  ,1,12/11/1989,1989,CLE,Away,UTA,0,3-pt FG,L. Nance,Assisted,30,34,17,6,12,0.5,4,5,0.8,1,2,0.5,5,4,1,0,16.3
Chuck Person  ,2,12/8/1989,1989,IND,Home,CHI,0,2-pt FG,unassisted,Unassisted,20,33,15,5,14,0.357,1,4,0.25,4,6,0.667,6,5,0,0,11.9
Dell Curry,1,11/17/1989,1989,CHH,Home,GSW,-2,3-pt FG,M. Bogues,Assisted,24,27,16,7,14,0.5,2,3,0.667,0,0,,3,3,2,0,10
John Stockton  ,1,11/15/1989,1989,UTA,Home,CHI,-1,2-pt FG,unassisted,Unassisted,0,41,22,7,14,0.5,1,1,1,7,7,1,1,18,3,1,26.8
Michael Jordan  ,1,5/7/1989,1989,CHI,Away,CLE,-1,2-pt FG,unassisted,Unassisted,15,44,44,17,32,0.531,1,1,1,9,13,0.692,9,6,1,0,32.7
Derrick McKey  ,1,5/5/1989,1989,SEA,Away,HOU,0,2-pt FG,N. McMillan,Assisted,0,38,15,6,11,0.545,0,3,0,3,4,0.75,9,4,1,1,9.7
Adrian Dantley,1,4/2/1989,1989,DAL,Home,MIA,0,2-pt FG,unassisted,Unassisted,18,29,25,10,16,0.625,0,0,,5,6,0.833,7,5,0,0,22.2
Rik Smits  ,1,3/27/1989,1989,IND,Home,CLE,0,Free throw,,Free Throw,,27,13,5,9,0.556,0,0,,3,4,0.75,9,1,0,1,10.4
Magic Johnson  ,3,3/26/1989,1989,LAL,Home,PHO,0,2-pt FG,unassisted,Unassisted,15,44,34,11,22,0.5,0,5,0,12,13,0.923,10,18,1,0,34.8
Doc Rivers,1,3/19/1989,1989,ATL,Away,LAL,0,2-pt FG,J. Battle,Assisted,22,31,27,10,17,0.588,1,1,1,6,6,1,4,6,2,2,26.1
Rory Sparrow  ,2,2/17/1989,1989,MIA,Home,CHH,-1,2-pt FG,unassisted,Unassisted,15,35,13,6,14,0.429,1,1,1,0,0,,3,6,2,1,10.6
Kurt Rambis  ,2,1/26/1989,1989,CHH,Away,UTA,-1,2-pt FG,unassisted,Unassisted,0,26,8,4,9,0.444,0,0,,0,0,,15,3,1,3,12.2
Hersey Hawkins  ,1,1/7/1989,1989,PHI,Away,HOU,-2,3-pt FG,M. Gminski,Assisted,25,38,31,12,18,0.667,2,5,0.4,5,8,0.625,4,2,3,0,23.8
Scottie Pippen,1,12/29/1988,1988,CHI,Home,NYK,0,2-pt FG,unassisted,Unassisted,10,39,23,10,18,0.556,0,1,0,3,4,0.75,6,7,1,4,20.1
Kurt Rambis  ,1,12/23/1988,1988,CHH,Home,CHI,0,2-pt FG,unassisted,Unassisted,0,31,8,3,8,0.375,0,0,,2,2,1,7,3,6,0,9
Jay Humphries,1,12/11/1988,1988,MIL,Home,LAL,-1,2-pt FG,unassisted,Unassisted,16,29,18,9,16,0.563,0,2,0,0,0,,0,3,0,0,10.9
Magic Johnson  ,2,11/15/1988,1988,LAL,Away,DEN,-1,3-pt FG,unassisted,Unassisted,25,41,21,8,14,0.571,1,2,0.5,4,4,1,5,13,3,1,18.5
Mike Mitchell,1,4/21/1988,1988,SAS,Away,HOU,-1,2-pt FG,unassisted,Unassisted,15,25,14,6,11,0.545,0,0,,2,2,1,4,1,0,0,11
Charles Barkley  ,1,4/13/1988,1988,PHI,Home,WSB,-2,3-pt FG,A. King,Assisted,29,51,38,13,21,0.619,2,2,1,10,15,0.667,20,1,3,2,36
John Long,1,4/11/1988,1988,IND,Home,NJN,0,2-pt FG,unassisted,Unassisted,18,24,11,4,9,0.444,0,1,0,3,3,1,2,0,2,0,4.1
Michael Adams,1,3/25/1988,1988,DEN,Away,LAL,-1,2-pt FG,unassisted,Unassisted,18,44,32,12,22,0.545,2,8,0.25,6,7,0.857,4,9,6,0,31.1
Ed Nealy,1,3/25/1988,1988,SAS,Home,DET,-1,2-pt FG,J. Sundvold,Assisted,5,17,2,1,1,1,0,0,,0,0,,4,1,0,0,-1
Mark Jackson,1,3/1/1988,1988,NYK,Home,IND,0,2-pt FG,unassisted,Unassisted,10,45,13,6,22,0.273,0,2,0,1,2,0.5,7,9,0,1,3.7
Gerald Henderson,1,2/29/1988,1988,PHI,Home,CHI,-1,2-pt FG,unassisted,Unassisted,0,25,15,3,5,0.6,2,3,0.667,7,8,0.875,0,3,1,0,14.6
Jerome Kersey,1,2/27/1988,1988,POR,Away,ATL,0,3-pt FG,unassisted,Unassisted,30,32,25,9,16,0.563,1,1,1,6,8,0.75,7,3,5,0,24.2
Reggie Theus  ,3,2/16/1988,1988,SAC,Away,ATL,0,3-pt FG,unassisted,Unassisted,29,40,23,11,19,0.579,1,1,1,0,0,,2,4,2,0,16.1
Steve Stipanovich,1,2/11/1988,1988,IND,Away,GSW,-2,3-pt FG,unassisted,Unassisted,22,33,17,8,15,0.533,1,2,0.5,0,0,,4,3,4,1,15.3
Kelly Tripucka,1,2/4/1988,1988,UTA,Away,POR,0,3-pt FG,unassisted,Unassisted,22,33,18,7,13,0.538,3,4,0.75,1,2,0.5,5,3,1,0,14.9
Steve Harris,1,1/20/1988,1988,GSW,Away,NJN,0,2-pt FG,unassisted,Unassisted,6,30,18,9,14,0.643,0,0,,0,0,,3,1,0,0,12.2
Reggie Theus  ,2,1/2/1988,1988,SAC,Home,UTA,0,2-pt FG,unassisted,Unassisted,17,43,36,13,23,0.565,0,3,0,10,11,0.909,7,9,3,0,31.9
Clyde Drexler  ,1,1/1/1988,1988,POR,Home,PHI,0,2-pt FG,unassisted,Unassisted,0,42,37,11,23,0.478,0,0,,15,16,0.938,12,4,3,0,33.9
Magic Johnson  ,1,12/11/1987,1987,LAL,Away,BOS,-1,2-pt FG,unassisted,Unassisted,22,44,18,6,11,0.545,1,1,1,5,6,0.833,8,17,2,0,23.8
Tyrone Corbin,1,12/5/1987,1987,CLE,Home,LAL,0,2-pt FG,unassisted,Unassisted,0,29,16,7,11,0.636,0,0,,2,4,0.5,7,1,1,1,14.8
Nate McMillan,1,11/20/1987,1987,SEA,Home,MIL,0,2-pt FG,unassisted,Unassisted,5,28,6,3,5,0.6,0,1,0,0,1,0,11,10,0,1,11.9
Darren Daye,1,11/18/1987,1987,BOS,Home,NYK,0,2-pt FG,unassisted,Unassisted,0,42,19,7,16,0.438,0,0,,5,7,0.714,4,5,3,0,17.3
Rodney McCray,1,11/15/1987,1987,HOU,Home,SEA,0,2-pt FG,unassisted,Unassisted,20,42,24,8,16,0.5,0,0,,8,11,0.727,8,5,2,0,20.5
Larry Bird  ,4,11/7/1987,1987,BOS,Away,WSB,-1,2-pt FG,D. Ainge,Assisted,23,53,47,19,29,0.655,1,2,0.5,8,10,0.8,8,7,2,0,34.8
Alvin Robertson,1,2/26/1987,1987,SAS,Home,PHI,-1,3-pt FG,J. Dawkins,Assisted,26,41,23,10,20,0.5,1,2,0.5,2,2,1,5,5,6,0,22.8
Jack Sikma  ,2,2/12/1987,1987,MIL,Home,SEA,0,2-pt FG,unassisted,Unassisted,0,33,18,6,10,0.6,0,0,,6,7,0.857,18,3,2,2,22.3
Mike Sanders,1,1/24/1987,1987,PHO,Away,IND,-1,2-pt FG,unassisted,Unassisted,6,5,4,1,2,0.5,0,0,,2,2,1,1,0,0,0,1.7
Louis Orr,1,1/19/1987,1987,NYK,Home,BOS,0,2-pt FG,unassisted,Unassisted,22,31,8,4,7,0.571,0,0,,0,0,,6,6,0,0,11.5
Danny Schayes,1,12/27/1986,1986,DEN,Away,SAS,0,Free throw,,Free Throw,,28,17,4,6,0.667,0,0,,9,10,0.9,8,1,0,3,14.4
Isiah Thomas,1,12/27/1986,1986,DET,Away,WSB,0,2-pt FG,unassisted,Unassisted,22,39,26,10,25,0.4,0,1,0,6,9,0.667,4,6,2,0,17.5
